Polling Station,ID,Postcode
Duinhage Florence,101,2566 AW
Centrum De Wiekslag,105,2553 GR
WoonZorgPark Loosduinen,106,2552 BR
HFCC Racing,110,2544 EK
WZH Nieuw Berkendael,114,2552 TX
Florence Woonzorgcentrum Houthaghe,117,2552 SB
Verpleeghuis Houtwijk,118,2552 ZV
CBS Leyenburg,119,2547 VR
Stichting Schets,121,2524 XK
Wijkcentrum DE GEEST,125,2551 ZC
Cardia Tabitha,127,2555 KZ
Serviceflat Dekkershaghe,131,2551 GA
Centrum Bokkefort,132,2552 KW
Wijkcentrum Het Eiland,136,2553 VK
Florence Dekkersduin,137,2555 DE
HV & CV Quick,138,2566 BZ
Scouting Ferguson,139,2555 NB
Hofstad Lyceum,140,2555 HA
SV Loosduinen,142,2553 EC
Sporthal Ockenburgh,143,2554 BX
Buurthuis WINGS,144,2555 JK
Stichting de Madelief,148,2553 ED
Popradar Den Haag,149,2552DP
Boulderhal de Campus,151,2544 CV
De Uithof,152,2544 NL
Bewonersorganisatie Rustenburg Oostbroek,155,2547 GA
Budosportcomplex Lu Gia Jen,156,2546 SK
Bibliotheek Escamp,157,2545 HA
Bibliotheek Loosduinen,158,2552 AE
Bibliotheek Nieuw Waldeck,159,2551 MR
Bibliotheek Wateringse Veld,160,2548 CL
sv Houtwijk,173,2552 JG
De Goede Worp,178,2544 GH
Theater en Filmhuis Dakota,179,2545 VP
YMCA Escamp,185,2573 NK
Laan van Wateringse Veld Portakabin,186,2548 TX
OBS De la Reyschool,202,2571 GH
Leger Des Heils,203,2542 EX
LOKAAL informatiepunt,207,2572 GA
Universiteit Leiden,208,2511 BL
OBS Het Galjoen,209,2525 ZV
Weimar's wijkpaleis,210,2562 HS
Musicon,211,2574 AL
OBS De la Reyschool Voorthuizenstraat,212,2573 AH
Sportzaal Andre Castens,213,2546 XE
Club Westwood,214,2566 EV
Tamarschool,217,2545 NL
Allekanten Bouwlust,220,2543 XZ
Bibliotheek Bouwlust,222,2544 NZ
Stadsvilla Mozaic,226,2585 GB
SBO De Springplank,232,2542 XH
Parkoers Stichting VTV,236,2533 SX
Bodegón,237,2515 BN
ZZIIN Stadspaleis Den Haag,238,2585 AN
Stadsdeelkantoor Escamp,239,2545 HA
Nutsschool bezuidenhout,240,2593 TL
Buurtkamer De Luyk,241,2533 JM
Ontmoetingscentrum Morgenstond,242,2541 JG
SBO Het Avontuur,243,2497 ZJ
Duwo hotch pot,249,2516 BH
Grote Markt,250,2511 BG
Wijkgebouw Ons Centrum,251,2583 JH
Permanente winteropvang,253,2566 MJ
Bibliotheek Moerwijk,254,2531 RB
Wijkz Startpunt Samen Vooruit,256,2545 NV
Wijkcentrum Moerwijk,259,2533 SG
Jongerencentrum Heeswijkplein,260,2531 HK
Verzorgingshuis Waterhof,261,2548 MC
RKBS De Fontein,265,2548 CK
WZH Hoge Veld,268,2548 CG
CBS De Gantel,270,2548 BR
Roemer Visscher College,275,2533 VG
Haga Ziekenhuis,278,2545 AA
Wereld keuken,281,2543 RT
The Social Hub The Hague,283,2526 BN
Stadsboerderij Op den Dijk,286,2548 AX
FC Skillz,293,2548 ZS
Voetbalvereniging SVH,295,2548 AC
Participatie Keuken,296,2531 KA
Vereniging de Vroon,302,2553 DP
SBO De Bonte Vlinder,304,2565 XD
Wijkgebouw Eltheto,305,2565 CE
Wijkcentrum De Hyacint,308,2565 DD
OBS Houtrust,311,2566 JP
Apotheek Pillen en Praten,312,2547 CZ
Wijkcentrum Escampade,315,2547 GA
Florence Uitzicht,316,2565 RW
Sporthal Loosduinen,317,2555 LZ
Sporthal Gaslaan,321,2562 LN
Rijksmuseum Huis van het Boek,324,2514 AP
Florence Jonker Frans,325,2562 JZ
Stichting Eekta,326,2562 CZ
Bibliotheek Segbroek,327,2562 HL
De Goede Herder Kapel,328,2563 GD
Haags Montessori Lyceum,329,2596 GA
Dienstencentrum Copernicus,333,2561 TT
Nationaal Monument Oranjehotel,338,2597 BP
Stichting Wijkberaad Vruchtenbuurt,340,2564 XT
Wijkcentrum 't Lindenkwadrant,341,2563 HJ
Brouwerij de Prael Den Haag,342,2517 LE
O.G. Heldringschool,343,2566 VS
Bewonersoverleg Duinoord,344,2517 GP
Bibliotheek Bomenbuurt,347,2561 DE
Hvv RAS,349,2555 XP
Theater De Regentes,353,2562 GR
Hagukumi Aikido Dojo,354,2564 KM
Milieu Educatief Centrum Kornoelje,359,2564 PC
Algemene Hindoe Basisschool,364,2571 AR
SV Dunas,365,2565 RT
Scouting de Mohicanen,368,2565 AB
Buurtcentrum Onder De Bolster,369,2565 NA
Health & Sports Club Westduin,379,2566 DA
Heldring Business School,380,2517 RZ
Theater De Regentes.1,381,2562 GR
Villa Ockenburgh,389,2553 RL
Vereniging van Nederlandse Gemeenten,391,2514 JS
Kon. HC&VV,397,2596 TA
Live Petit Café,398,2583 DX
Bewonersvereniging Noordelijk Scheveningen,402,2587 HT
Verpleeghuis De Eshoeve,403,2587 AZ
Buurtcentrum Kommunika,407,2586 SH
Muzee Scheveningen,410,2586 GT
"Stichting Cardia-Duinrust, Thuishaven",411,2586 GP
Wijkcentrum Het Kalhuis,412,2584 HH
Respect Zeewinde,413,2508 AB
Respect Het Uiterjoon,415,2583 DG
Wijkcentrum het Trefpunt,417,2583 JH
Willem de Zwijgerschool,420,2587 HZ
Nutsschool M. M. Boldingh,421,2517 SC
Wijkgebouw Thabor,423,2581 BC
Kunstmuseum Den Haag,426,2517 HV
OBS Annie M.G. Schmidt,431,2517 JM
Stadsboerderij 't Waaygat,445,2586 TW
Het Couvéehuis,447,2582 HJ
Korfbalvereniging KVS,449,2597 LS
Bilderberg Europa Hotel Scheveningen,451,2587 VJ
Grand Hotel Amrâth Kurhaus,452,2586 CK
Huize Royal / Royal Rustique,453,2584 CV
Respect Bosch en Duin,454,2517 KZ
Wijkgebouw Rehoboth,459,2584 RV
Stichting See Lab,461,2584 AW
Leonardo Royal Hotel Den Haag Promenade,468,2585 JL
Indoor Beach Centrum Lindobeach,469,2583 BG
Madurodam,470,2584 RZ
Buurtcentrum De Mallemok,478,2583 EH
Haagsche Rugby Club,479,2597 HM
OBS Annie M.G. Schmidtschool dependance,485,2582 RA
Wijk- en dienstencentrum het Klokhuis,501,2585 TJ
Wijk- en dienstencentrum De Heldenhoek,507,2513 GV
Wijklokaal Rivierenbuurt en Spuikwartier,511,2511 BZ
HWW Rivierenbuurt,512,2515 TZ
Straat Consulaat,513,2513 BN
COC Café,514,2514 HB
Stadhuis,516,2511 BT
Stadhuis.1,517,2511 BT
Wijk- en Dienstencentrum De Kronkel,522,2512 KD
PEP Den Haag,524,2513 AM
Het Spaansche Hof,525,2512 HD
Informatiecentrum Binnenhof Renovatie,526,2513 AE
Sporthal Oranjeplein,528,2515 GE
Buurtcentrum De Burcht,536,2525 SE
Buurthuis Mandelaplein,539,2572 HT
Talentenhuis,544,2525 XH
Amare,545,2511 DG
Buurtcentrum Octopus,546,2512 RE
De Tempel,553,2518 HH
De Hobbit,555,2518 KM
Grote Markt.1,556,2511 BG
Paard,559,2512 GA
Clubhuis Cantaloup,562,2514 KL
Sportcampus Zuiderpark,564,2533 SR
Stadsboerderij Schildershoeve,566,2526 MS
Buurthuis Sam Sam,568,2526 NW
KesslerPerspektief Stichting,569,2571 GN
Bibliotheek Schilderswijk,570,2515 JL
Buurthuis BARIO,575,2571 TD
Theater De Vaillant,576,2526 JS
OBS Het Startpunt,577,2526 WS
Kindcentrum O3,584,2515 TM
Pathé Buitenhof,587,2513 AG
Juliana Plaza,591,2572 TV
Studio Scheef,592,2512 ET
Zeehelden Theater,595,2518 BT
Grote Markt.2,599,2511 BG
De Haagse Hogeschool,601,2521 EN
Stadsdeelkantoor Laak,603,2521 EC
Esloo College,605,2516 JE
Centrum De Wissel,611,2524 XN
Laaktheater,615,2523 XT
Stichting De Besturing,617,2516 AG
HVV Laakkwartier,626,2523 JS
Stadsboerderij Molenweide,628,2516 TA
Vadercentrum,629,2523 AR
Bibliotheek Laakkwartier,630,2522 GR
Skatepark RAC,634,2521 AC
RKBS De Jonge Wereld,636,2547 ST
Saffier De Drie Linden,638,2532 BE
Centrum Laakhavens,639,2521 SW
Vliethage,648,2516 EN
School2care Laakhaven,649,2531 SX
Het Huis Nebo,703,2597 SP
American Women's Club of The Hague,706,2596 XH
Florence Woonzorgcentrum Oostduin,707,2596 RH
Schoolvereniging Wolters,708,2597 PH
Wijkcentrum Leidschenveen,712,2492 JC
RKBS Liduinaschool,714,2595 TA
Wijk en Dienstencentrum,715,2593 CH
Centrum Bezuidenhout West,717,2595 WS
Woonzorgcentrum Bezuidenhout,718,2594 AT
Cardia Woonzorgcentrum Landscheiding,719,2591 SL
Wijkcentrum Mariahoeve,721,2592 TH
Florence Verpleeghuis Mariahoeve,722,2594 XZ
Diamant,723,2592 GH
Buurthuis De Landen,724,2591 SG
HWW Ametisthorst,726,2592 HD
PCBS De Vlieger,728,2497 DN
Kindcentrum Balans,730,2492 MA
Kindcentrum Balans.1,732,2492 MA
OBS De Notenkraker,736,2496 HS
RKBS De Christoffel,739,2496 RH
Daily Taste foodcourt,740,2554 GW
Buurthuis De Yp,744,2498 BK
Portakabin Heliotrooplaan,745,2555 MA
Grasveld Watervogelstraat Portakabin,748,2494 PX
SV Leidschenveen,756,2493 VE
Muziekacademie Den Haag,759,2596 HN
RKBS De Paradijsvogel,760,2496 MT
Sporthal Boswijk,762,2496 VB
Octantschool Zonnestraal,763,2498 BZ
Bibliotheek Haagse Hout,765,2593 AJ
Zwembad het Hofbad,768,2496 ZA
Stadsboerderij Landzigt,772,2493 ZN
Sporthal Overbosch,775,2592 AA
Sportpark Het Kleine Loo (VUC),777,2592 BW
ATV Loolaan (Trefpunt),778,2593 HH
Wijkcentrum Piet Vink,781,2497 ED
KunstPost,782,2592 CK
Fortumus Waalsdorp,787,2597 TS
HMC Bronovo,788,2597 AX
ROC Mondriaan,790,2493 WN
Hogeschool InHolland Den Haag,803,2593 AN
Tweede Kamer der Staten-Generaal,804,2595 BG
Boekhandel Paagman,805,2582 CB
Centraal Station,806,2595 AA
Bibliotheek Transvaal,808,2526 JB
Bibliotheek Ypenburg,812,2496 SR
Bibliotheek Leidschenveen,813,2492 JT
The Grey Space in the Middle,815,2512 BP
Station Hollands Spoor,817,2515 BW
Centraal Station.1,820,2595 AA
Boekhandel Paagman.1,822,2582 CB
Clubhuis De Mussen,824,2526 CM
Pulchri Studio,828,2514 EA
Boekhandel Paagman Centrum,830,2511 CL
Ministerie van Binnenlandse Zaken,831,2511 DP
Make It Art Worthy,833,2513 EB
Haagsche Bluf,835,2511 CN
Mobiel stembureau,848,2585 CB
De Helena,852,2512 ZB
OBS Archipel,878,2585 VG
Milieu Educatief Centrum Reigershof,888,2592 EZ
